startDate,siteID,regionName,SiteRef,siteDescription,flowDirection,siteRef,SH,siteType,geometry,date,week,month,year,holiday,trafficCount
2018-01-01 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-01,Monday,1,2018,True,3820.0
2018-01-01 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-01,Monday,1,2018,True,3820.0
2018-01-02 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-02,Tuesday,1,2018,True,4076.0
2018-01-02 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-02,Tuesday,1,2018,True,4076.0
2018-01-03 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-03,Wednesday,1,2018,False,5962.0
2018-01-03 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-03,Wednesday,1,2018,False,5962.0
2018-01-04 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-04,Thursday,1,2018,False,5793.0
2018-01-04 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-04,Thursday,1,2018,False,5793.0
2018-01-05 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-05,Friday,1,2018,False,5485.0
2018-01-05 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-05,Friday,1,2018,False,5485.0
2018-01-06 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-06,Saturday,1,2018,False,5377.0
2018-01-06 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-06,Saturday,1,2018,False,5377.0
2018-01-07 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-07,Sunday,1,2018,False,4647.0
2018-01-07 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-07,Sunday,1,2018,False,4647.0
2018-01-08 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-08,Monday,1,2018,False,6815.0
2018-01-08 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-08,Monday,1,2018,False,6815.0
2018-01-09 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-09,Tuesday,1,2018,False,7558.0
2018-01-09 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-09,Tuesday,1,2018,False,7558.0
2018-01-10 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-10,Wednesday,1,2018,False,7937.0
2018-01-10 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-10,Wednesday,1,2018,False,7937.0
2018-01-11 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-11,Thursday,1,2018,False,7902.0
2018-01-11 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-11,Thursday,1,2018,False,7902.0
2018-01-12 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-12,Friday,1,2018,False,7810.0
2018-01-12 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-12,Friday,1,2018,False,7810.0
2018-01-13 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-13,Saturday,1,2018,False,6584.0
2018-01-13 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-13,Saturday,1,2018,False,6584.0
2018-01-14 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-14,Sunday,1,2018,False,5331.0
2018-01-14 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-14,Sunday,1,2018,False,5331.0
2018-01-15 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-15,Monday,1,2018,False,7558.0
2018-01-15 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-15,Monday,1,2018,False,7558.0
2018-01-16 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-16,Tuesday,1,2018,False,7808.0
2018-01-16 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-16,Tuesday,1,2018,False,7808.0
2018-01-17 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-17,Wednesday,1,2018,False,7842.0
2018-01-17 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-17,Wednesday,1,2018,False,7842.0
2018-01-18 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-18,Thursday,1,2018,False,7685.0
2018-01-18 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-18,Thursday,1,2018,False,7685.0
2018-01-19 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-19,Friday,1,2018,False,7794.0
2018-01-19 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-19,Friday,1,2018,False,7794.0
2018-01-20 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-20,Saturday,1,2018,False,7081.0
2018-01-20 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-20,Saturday,1,2018,False,7081.0
2018-01-21 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-21,Sunday,1,2018,False,5382.0
2018-01-21 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-21,Sunday,1,2018,False,5382.0
2018-01-22 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-22,Monday,1,2018,False,7213.0
2018-01-22 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-22,Monday,1,2018,False,7213.0
2018-01-23 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-23,Tuesday,1,2018,False,8190.0
2018-01-23 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-23,Tuesday,1,2018,False,8190.0
2018-01-24 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-24,Wednesday,1,2018,False,8852.0
2018-01-24 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-24,Wednesday,1,2018,False,8852.0
2018-01-25 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-25,Thursday,1,2018,False,9565.0
2018-01-25 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-25,Thursday,1,2018,False,9565.0
2018-01-26 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-26,Friday,1,2018,False,8995.0
2018-01-26 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-26,Friday,1,2018,False,8995.0
2018-01-27 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-27,Saturday,1,2018,False,6582.0
2018-01-27 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-27,Saturday,1,2018,False,6582.0
2018-01-28 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-28,Sunday,1,2018,False,5366.0
2018-01-28 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-28,Sunday,1,2018,False,5366.0
2018-01-29 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-29,Monday,1,2018,False,5148.0
2018-01-29 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-29,Monday,1,2018,False,5148.0
2018-01-30 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-30,Tuesday,1,2018,False,7865.0
2018-01-30 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-30,Tuesday,1,2018,False,7865.0
2018-01-31 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-31,Wednesday,1,2018,False,8110.0
2018-01-31 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-01-31,Wednesday,1,2018,False,8110.0
2018-02-01 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-01,Thursday,2,2018,False,7588.0
2018-02-01 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-01,Thursday,2,2018,False,7588.0
2018-02-02 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-02,Friday,2,2018,False,8043.0
2018-02-02 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-02,Friday,2,2018,False,8043.0
2018-02-03 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-03,Saturday,2,2018,False,6463.0
2018-02-03 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-03,Saturday,2,2018,False,6463.0
2018-02-04 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-04,Sunday,2,2018,False,5178.0
2018-02-04 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-04,Sunday,2,2018,False,5178.0
2018-02-05 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-05,Monday,2,2018,False,7416.0
2018-02-05 00:00:00+00:00,2134,02 - Auckland,01N50448,SH1 Redoubt Rd On Ramp NB,5,01N50448,1N,Regional Continuous,POINT (174.8864966871674 -36.98991391628399),2018-02-05,Monday,2,2018,False,7416.0
