startDate,siteID,regionName,SiteRef,siteDescription,flowDirection,trafficCount_x,siteRef,SH,siteType,geometry,date,week,month,year,holiday,trafficCount_y
2020-10-17 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,16024.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-17,Saturday,10,2020,False,87001.0
2020-10-17 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1286.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-17,Saturday,10,2020,False,87001.0
2020-10-17 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1061.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-17,Saturday,10,2020,False,87001.0
2020-10-17 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,24091.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-17,Saturday,10,2020,False,87001.0
2020-10-17 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1475.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-17,Saturday,10,2020,False,87001.0
2020-10-17 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,490.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-17,Saturday,10,2020,False,87001.0
2020-10-17 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,19289.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-17,Saturday,10,2020,False,87001.0
2020-10-18 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,985.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-18,Sunday,10,2020,False,74253.0
2020-10-18 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,873.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-18,Sunday,10,2020,False,74253.0
2020-10-18 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,21805.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-18,Sunday,10,2020,False,74253.0
2020-10-18 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,771.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-18,Sunday,10,2020,False,74253.0
2020-10-18 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,14337.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-18,Sunday,10,2020,False,74253.0
2020-10-18 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,14914.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-18,Sunday,10,2020,False,74253.0
2020-10-18 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,327.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-18,Sunday,10,2020,False,74253.0
2020-10-18 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,20239.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-18,Sunday,10,2020,False,74253.0
2020-10-19 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1450.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-19,Monday,10,2020,False,88617.0
2020-10-19 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,20625.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-19,Monday,10,2020,False,88617.0
2020-10-19 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,16563.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-19,Monday,10,2020,False,88617.0
2020-10-19 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,789.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-19,Monday,10,2020,False,88617.0
2020-10-19 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,21824.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-19,Monday,10,2020,False,88617.0
2020-10-19 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2564.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-19,Monday,10,2020,False,88617.0
2020-10-19 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2070.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-19,Monday,10,2020,False,88617.0
