name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Auckland,New Zealand",01/01/2018,24.1,18,20.6,24.1,18,20.6,16.9,80.1,3,100,4.17,rain,,,,13.9,14.9,1010.9,83.2,7,166.3,14.6,5,,2018-01-01T06:05:06,2018-01-01T20:43:14,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"93119099999,NZAA,93110099999,C4778"
"Auckland,New Zealand",02/01/2018,27,18,21.9,27.5,18,21.9,17.7,79,4.8,100,58.33,rain,,,,11.4,23.9,1012.3,51.4,6.7,361.8,31.2,10,,2018-01-02T06:05:53,2018-01-02T20:43:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,E0594,NZAA,93110099999,C4778"
"Auckland,New Zealand",03/01/2018,27.1,17,21.5,28,17,21.6,17.7,79.6,1.4,100,45.83,rain,,,,16.1,49.3,1011.6,47.9,7.3,301.6,26.2,10,,2018-01-03T06:06:42,2018-01-03T20:43:29,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93110099999,C4778"
"Auckland,New Zealand",04/01/2018,22,20,21.1,22,20,21.1,19.7,91.9,11.6,100,8.33,rain,,,39.1,27.7,51,1005.2,80.9,5.5,65.3,5.9,2,,2018-01-04T06:07:31,2018-01-04T20:43:33,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93110099999,C4778"
"Auckland,New Zealand",05/01/2018,22,18.1,20.2,22,18.1,20.2,18.7,91.2,12.6,100,8.33,rain,,,47.2,33.3,338.2,990,92.4,4.7,101.8,9,4,,2018-01-05T06:08:22,2018-01-05T20:43:36,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"93119099999,E8245,E0594,NZAA,93110099999,C4778"
"Auckland,New Zealand",06/01/2018,22.1,18.9,20,22.1,18.9,20,17,82.9,1.2,100,8.33,rain,,,,27.7,248.7,1004.6,92.5,5.4,161.8,13.9,6,,2018-01-06T06:09:14,2018-01-06T20:43:36,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"93119099999,NZAA,93110099999,C4778"
"Auckland,New Zealand",07/01/2018,23,18,20.1,23,18,20.1,15.1,73.5,3,100,37.5,rain,,,,19.7,227.5,1012.5,58.8,6.3,318.7,27.6,10,,2018-01-07T06:10:07,2018-01-07T20:43:34,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93110099999,C4778"
"Auckland,New Zealand",08/01/2018,23.1,17,20.1,23.1,17,20.1,14.9,72.8,0,0,0,,,,,17.2,216.1,1016.8,18.3,6.6,410.1,35.4,10,,2018-01-08T06:11:01,2018-01-08T20:43:31,0.7,Clear,Clear conditions throughout the day.,clear-day,"93119099999,E8245,E0594,NZAA,93110099999,C4778"
"Auckland,New Zealand",09/01/2018,24,17,20.5,24,17,20.5,16.6,79.3,0,0,0,,,,,13.9,219.5,1019.3,24.6,6.7,321,27.7,10,,2018-01-09T06:11:57,2018-01-09T20:43:25,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D0000,93119099999,E0594,NZAA,93110099999,C4778"
"Auckland,New Zealand",10/01/2018,24,18.8,21,24,18.8,21,16.8,77.4,0,0,0,,,,,16.1,243.7,1018,17.4,7,356.1,30.8,10,,2018-01-10T06:12:53,2018-01-10T20:43:17,0.76,Clear,Clear conditions throughout the day.,clear-day,"D0000,93119099999,E8245,NZAA,remote,93110099999,C4778"
"Auckland,New Zealand",11/01/2018,25,18.9,21.8,25,18.9,21.8,17.9,79.2,0,0,0,,,,,13.9,229.9,1017.2,27.1,7,638.3,55.7,10,,2018-01-11T06:13:51,2018-01-11T20:43:07,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93119099999,E8245,NZAA,93110099999,C4778"
